,date,open,high,low,close,volume,tic,day
1265,2000-03-08,17.3125,18.21875,17.3125,9.47188663482666,5772000,CAT,2
1293,2000-03-09,17.46875,17.6875,17.125,9.556612014770508,4904400,CAT,3
1321,2000-03-10,17.625,18.375,17.40625,9.675220489501953,5335400,CAT,4
1349,2000-03-13,17.84375,18.0625,17.5,9.658275604248047,3304800,CAT,0
1377,2000-03-14,17.875,18.59375,17.875,9.70910930633545,6545400,CAT,1
1405,2000-03-15,17.90625,19.53125,17.8125,10.369939804077148,6827400,CAT,2
1433,2000-03-16,19.46875,20.8125,19.46875,11.030774116516113,7723400,CAT,3
1461,2000-03-17,20.15625,20.15625,19.53125,10.742713928222656,4798800,CAT,4
1489,2000-03-20,19.8125,20.28125,19.21875,10.43772029876709,4407600,CAT,0
1517,2000-03-21,19.25,20.03125,19.21875,10.793554306030273,3065800,CAT,1
1545,2000-03-22,19.8125,19.8125,19.375,10.556328773498535,2487200,CAT,2
1573,2000-03-23,19.625,20.09375,19.625,10.725775718688965,3596000,CAT,3
1601,2000-03-24,19.78125,20.0,19.625,10.708828926086426,2277600,CAT,4
1629,2000-03-27,19.75,20.3125,19.5,10.590211868286133,2241200,CAT,0
1657,2000-03-28,19.53125,19.5625,19.15625,10.386893272399902,2619200,CAT,1
1685,2000-03-29,19.15625,19.78125,18.84375,10.57327651977539,3778000,CAT,2
1713,2000-03-30,19.5,20.65625,19.4375,11.047710418701172,4877800,CAT,3
1741,2000-03-31,20.375,20.5625,19.65625,10.69188404083252,4850400,CAT,4
1769,2000-04-03,19.71875,21.125,19.71875,11.352707862854004,4664200,CAT,0
1797,2000-04-04,20.9375,22.0625,20.4375,11.776324272155762,7259000,CAT,1
1825,2000-04-05,21.71875,21.9375,21.125,11.505212783813477,3759200,CAT,2
1853,2000-04-06,21.21875,21.8125,21.125,11.471322059631348,2104800,CAT,3
1881,2000-04-07,21.15625,21.21875,20.625,11.217154502868652,2937400,CAT,4
1909,2000-04-10,20.6875,21.0625,20.5625,11.234100341796875,1890600,CAT,0
1937,2000-04-11,20.8125,21.625,20.8125,11.403549194335938,3531600,CAT,1
1965,2000-04-12,21.375,22.375,21.375,11.776324272155762,4224400,CAT,2
1993,2000-04-13,21.71875,22.4375,20.90625,11.386604309082031,4334200,CAT,3
2021,2000-04-14,21.0,21.0,20.09375,10.979937553405762,4287000,CAT,4
2049,2000-04-17,20.25,21.21875,20.125,11.098544120788574,3754200,CAT,0
2077,2000-04-18,20.46875,21.75,19.6875,10.912156105041504,9957200,CAT,1
2105,2000-04-19,19.46875,19.46875,18.5,10.283530235290527,8557000,CAT,2
