,date,open,high,low,close,volume,tic,day
19,2000-01-03,65.48187255859375,65.48187255859375,63.45419692993164,27.253021240234375,6265782,MRK,0
47,2000-01-04,63.931297302246094,64.70658111572266,61.78435134887695,26.2958927154541,7894689,MRK,1
75,2000-01-05,62.08253860473633,65.72042083740234,62.08253860473633,27.32858657836914,7963018,MRK,2
103,2000-01-06,64.70658111572266,66.01860809326172,64.58731079101562,27.555280685424805,4989004,MRK,3
131,2000-01-07,66.61498260498047,71.80343627929688,66.43606567382812,30.199974060058594,10871218,MRK,4
159,2000-01-10,71.32633972167969,71.38597106933594,68.82156372070312,29.31840705871582,6001686,MRK,0
187,2000-01-11,68.76192474365234,70.3125,68.10591888427734,29.419166564941406,5264418,MRK,1
215,2000-01-12,70.25286102294922,71.7437973022461,70.0739517211914,29.998470306396484,5229939,MRK,2
243,2000-01-13,71.38597106933594,72.63835906982422,70.43177795410156,30.124412536621094,5610468,MRK,3
271,2000-01-14,71.80343627929688,72.4594497680664,69.3582992553711,29.872535705566406,5806130,MRK,4
299,2000-01-18,69.77576446533203,70.19322204589844,67.33062744140625,28.537586212158203,5554086,MRK,1
327,2000-01-19,68.46373748779297,69.3582992553711,67.98664093017578,28.81464958190918,4990157,MRK,2
355,2000-01-20,68.64265441894531,69.83540344238281,68.1655502319336,29.393980026245117,5225642,MRK,3
383,2000-01-21,71.08778381347656,71.08778381347656,68.28482818603516,29.192468643188477,8309487,MRK,4
411,2000-01-24,69.65648651123047,69.65648651123047,65.89933013916016,28.310897827148438,5438177,MRK,0
439,2000-01-25,67.86736297607422,68.7022933959961,67.39026641845703,28.562768936157227,5707513,MRK,1
467,2000-01-26,67.74809265136719,69.65648651123047,67.39026641845703,29.343585968017578,5614660,MRK,2
495,2000-01-27,69.77576446533203,71.98234558105469,69.65648651123047,29.872535705566406,8119066,MRK,3
523,2000-01-28,72.04198455810547,74.84494018554688,71.80343627929688,30.7792911529541,10294504,MRK,4
551,2000-01-31,72.22089385986328,75.38167572021484,71.14742279052734,31.686037063598633,8390602,MRK,0
579,2000-02-01,73.83110809326172,74.36784362792969,72.04198455810547,30.955604553222656,5267667,MRK,1
607,2000-02-02,73.77146911621094,74.7853012084961,72.4594497680664,30.980796813964844,4865550,MRK,2
635,2000-02-03,72.81726837158203,73.17509460449219,71.9227066040039,30.72890853881836,4059952,MRK,3
663,2000-02-04,73.35401153564453,73.35401153564453,71.5052490234375,30.25035858154297,4466681,MRK,4
691,2000-02-07,70.84923553466797,71.98234558105469,70.37213897705078,30.32592010498047,4370370,MRK,0
719,2000-02-08,72.04198455810547,72.39981079101562,71.62451934814453,30.401470184326172,4128282,MRK,1
747,2000-02-09,70.72996520996094,70.78959655761719,67.62881469726562,28.764284133911133,7259810,MRK,2
775,2000-02-10,66.79389190673828,67.03244018554688,64.885498046875,27.80715560913086,7356436,MRK,3
803,2000-02-11,64.52767181396484,65.00476837158203,61.36688995361328,26.2958927154541,9655643,MRK,4
831,2000-02-14,62.5,63.394561767578125,61.068702697753906,26.623334884643555,9361889,MRK,0
859,2000-02-15,62.738548278808594,63.5734748840332,62.14217758178711,26.4470157623291,6683201,MRK,1
887,2000-02-16,62.5,64.1102066040039,62.261451721191406,26.396644592285156,5383995,MRK,2
915,2000-02-17,63.334922790527344,63.63311004638672,60.23377990722656,25.489883422851562,7269871,MRK,3
943,2000-02-18,60.53196716308594,61.4265251159668,58.74284362792969,24.98613929748535,6934721,MRK,4
